Comune;Provincia;Prov;Regione;Latitude;Longitude;Latitudine Prov;Longitudine Prov;Numero Abitanti;CAP;Prefisso;Cod Istat
Agliè;Torino;TO;Piemonte;45,3647200000;7,7677800000;45,0661100000;7,6822200000;2591;10011;124;1001001
Airasca;Torino;TO;Piemonte;44,9175000000;7,4911100000;45,0661100000;7,6822200000;3808;10060;11;1001002
Ala di Stura;Torino;TO;Piemonte;45,3161100000;7,3027800000;45,0661100000;7,6822200000;465;10070;123;1001003
Albiano d'Ivrea;Torino;TO;Piemonte;45,4350000000;7,9472200000;45,0661100000;7,6822200000;1778;10010;125;1001004
Alice Superiore;Torino;TO;Piemonte;45,4622200000;7,7777800000;45,0661100000;7,6822200000;713;10010;125;1001005
Almese;Torino;TO;Piemonte;45,1200000000;7,3980600000;45,0661100000;7,6822200000;6378;10040;11;1001006
Alpette;Torino;TO;Piemonte;45,4102800000;7,5775000000;45,0661100000;7,6822200000;271;10080;124;1001007
Alpignano;Torino;TO;Piemonte;45,0991700000;7,5277800000;45,0661100000;7,6822200000;17097;10091;11;1001008
Andezeno;Torino;TO;Piemonte;45,0388900000;7,8694400000;45,0661100000;7,6822200000;2010;10020;11;1001009
Andrate;Torino;TO;Piemonte;45,5280600000;7,8744400000;45,0661100000;7,6822200000;521;10010;125;1001010
Angrogna;Torino;TO;Piemonte;44,8436100000;7,2263900000;45,0661100000;7,6822200000;882;10060;121;1001011
Arignano;Torino;TO;Piemonte;45,0447200000;7,9027800000;45,0661100000;7,6822200000;1057;10020;11;1001012
Avigliana;Torino;TO;Piemonte;45,0788900000;7,3980600000;45,0661100000;7,6822200000;12367;10051;11;1001013
Azeglio;Torino;TO;Piemonte;45,4266700000;7,9944400000;45,0661100000;7,6822200000;1375;10010;125;1001014
Bairo;Torino;TO;Piemonte;45,3877800000;7,7544400000;45,0661100000;7,6822200000;819;10010;124;1001015
Balangero;Torino;TO;Piemonte;45,2766700000;7,5219400000;45,0661100000;7,6822200000;3178;10070;123;1001016
Baldissero Canavese;Torino;TO;Piemonte;45,4116700000;7,7450000000;45,0661100000;7,6822200000;551;10080;124;1001017
Baldissero Torinese;Torino;TO;Piemonte;45,0697200000;7,8200000000;45,0661100000;7,6822200000;3825;10020;11;1001018
Balme;Torino;TO;Piemonte;45,3033300000;7,2188900000;45,0661100000;7,6822200000;97;10070;123;1001019
Banchette;Torino;TO;Piemonte;45,4622200000;7,8580600000;45,0661100000;7,6822200000;3355;10010;125;1001020
Barbania;Torino;TO;Piemonte;45,2919400000;7,6319400000;45,0661100000;7,6822200000;1632;10070;11;1001021
Bardonecchia;Torino;TO;Piemonte;45,0813900000;6,7002800000;45,0661100000;7,6822200000;3273;10052;122;1001022
Barone Canavese;Torino;TO;Piemonte;45,3277800000;7,8736100000;45,0661100000;7,6822200000;597;10010;11;1001023
Beinasco;Torino;TO;Piemonte;45,0241700000;7,5808300000;45,0661100000;7,6822200000;18185;10092;11;1001024
Bibiana;Torino;TO;Piemonte;44,7991700000;7,2894400000;45,0661100000;7,6822200000;3399;10060;121;1001025
Bobbio Pellice;Torino;TO;Piemonte;44,8086100000;7,1175000000;45,0661100000;7,6822200000;566;10060;121;1001026
Bollengo;Torino;TO;Piemonte;45,4747200000;7,9436100000;45,0661100000;7,6822200000;2088;10012;125;1001027
Borgaro Torinese;Torino;TO;Piemonte;45,1516700000;7,6594400000;45,0661100000;7,6822200000;13502;10071;11;1001028
Borgiallo;Torino;TO;Piemonte;45,4191700000;7,6713900000;45,0661100000;7,6822200000;556;10080;124;1001029
Borgofranco d'Ivrea;Torino;TO;Piemonte;45,5127800000;7,8566700000;45,0661100000;7,6822200000;3780;10013;125;1001030
Borgomasino;Torino;TO;Piemonte;45,3638900000;7,9888900000;45,0661100000;7,6822200000;845;10031;125;1001031
Borgone Susa;Torino;TO;Piemonte;45,1250000000;7,2438900000;45,0661100000;7,6822200000;2372;10050;11;1001032
Bosconero;Torino;TO;Piemonte;45,2691700000;7,7669400000;45,0661100000;7,6822200000;3101;10080;11;1001033
Brandizzo;Torino;TO;Piemonte;45,1786100000;7,8436100000;45,0661100000;7,6822200000;8297;10032;11;1001034
Bricherasio;Torino;TO;Piemonte;44,8272200000;7,3038900000;45,0661100000;7,6822200000;4454;10060;121;1001035
Brosso;Torino;TO;Piemonte;45,4944400000;7,8033300000;45,0661100000;7,6822200000;472;10080;125;1001036
Brozolo;Torino;TO;Piemonte;45,1175000000;8,0702800000;45,0661100000;7,6822200000;481;10020;11;1001037
Bruino;Torino;TO;Piemonte;45,0213900000;7,4702800000;45,0661100000;7,6822200000;8520;10090;11;1001038
Brusasco;Torino;TO;Piemonte;45,1563900000;8,0572200000;45,0661100000;7,6822200000;1760;10020;11;1001039
Bruzolo;Torino;TO;Piemonte;45,1452800000;7,1947200000;45,0661100000;7,6822200000;1540;10050;11;1001040
Buriasco;Torino;TO;Piemonte;44,8744400000;7,4133300000;45,0661100000;7,6822200000;1411;10060;121;1001041
Burolo;Torino;TO;Piemonte;45,4836100000;7,9330600000;45,0661100000;7,6822200000;1267;10010;125;1001042
Busano;Torino;TO;Piemonte;45,3305600000;7,6580600000;45,0661100000;7,6822200000;1571;10080;124;1001043
Bussoleno;Torino;TO;Piemonte;45,1413900000;7,1461100000;45,0661100000;7,6822200000;6521;10053;122;1001044
Buttigliera Alta;Torino;TO;Piemonte;45,0686100000;7,4369400000;45,0661100000;7,6822200000;6458;10090;11;1001045
Cafasse;Torino;TO;Piemonte;45,2466700000;7,5194400000;45,0661100000;7,6822200000;3585;10070;123;1001046
Caluso;Torino;TO;Piemonte;45,3077800000;7,8913900000;45,0661100000;7,6822200000;7679;10014;11;1001047
Cambiano;Torino;TO;Piemonte;44,9738900000;7,7813900000;45,0661100000;7,6822200000;6304;10020;11;1001048
Campiglione-Fenile;Torino;TO;Piemonte;44,8027800000;7,3252800000;45,0661100000;7,6822200000;1385;10060;121;1001049
Candia Canavese;Torino;TO;Piemonte;45,3294400000;7,8888900000;45,0661100000;7,6822200000;1317;10010;11;1001050
Candiolo;Torino;TO;Piemonte;44,9602800000;7,6016700000;45,0661100000;7,6822200000;5591;10060;11;1001051
Canischio;Torino;TO;Piemonte;45,3758300000;7,5952800000;45,0661100000;7,6822200000;301;10080;124;1001052
Cantalupa;Torino;TO;Piemonte;44,9405600000;7,3322200000;45,0661100000;7,6822200000;2588;10060;121;1001053
Cantoira;Torino;TO;Piemonte;45,3408300000;7,3861100000;45,0661100000;7,6822200000;554;10070;123;1001054
Caprie;Torino;TO;Piemonte;45,1213900000;7,3311100000;45,0661100000;7,6822200000;2136;10040;11;1001055
Caravino;Torino;TO;Piemonte;45,4008300000;7,9608300000;45,0661100000;7,6822200000;1008;10010;125;1001056
Carema;Torino;TO;Piemonte;45,5847200000;7,8119400000;45,0661100000;7,6822200000;771;10010;125;1001057
Carignano;Torino;TO;Piemonte;44,9077800000;7,6766700000;45,0661100000;7,6822200000;9234;10041;11;1001058
Carmagnola;Torino;TO;Piemonte;44,8475000000;7,7213900000;45,0661100000;7,6822200000;28653;10022;11;1001059
Casalborgone;Torino;TO;Piemonte;45,1308300000;7,9450000000;45,0661100000;7,6822200000;1851;10020;11;1001060
Cascinette d'Ivrea;Torino;TO;Piemonte;45,4808300000;7,9063900000;45,0661100000;7,6822200000;1506;10010;125;1001061
Caselette;Torino;TO;Piemonte;45,1077800000;7,4830600000;45,0661100000;7,6822200000;2874;10040;11;1001062
Caselle Torinese;Torino;TO;Piemonte;45,1780600000;7,6494400000;45,0661100000;7,6822200000;18577;10072;11;1001063
Castagneto Po;Torino;TO;Piemonte;45,1616700000;7,8913900000;45,0661100000;7,6822200000;1820;10090;11;1001064
Castagnole Piemonte;Torino;TO;Piemonte;44,8997200000;7,5691700000;45,0661100000;7,6822200000;2186;10060;11;1001065
Castellamonte;Torino;TO;Piemonte;45,3847200000;7,7111100000;45,0661100000;7,6822200000;10008;10081;124;1001066
Castelnuovo Nigra;Torino;TO;Piemonte;45,4372200000;7,6927800000;45,0661100000;7,6822200000;415;10080;124;1001067
Castiglione Torines;Torino;TO;Piemonte;45,1161100000;7,8177800000;45,0661100000;7,6822200000;6336;10090;11;1001068
Cavagnolo;Torino;TO;Piemonte;45,1533300000;8,0463900000;45,0661100000;7,6822200000;2383;10020;11;1001069
Cavour;Torino;TO;Piemonte;44,7847200000;7,3755600000;45,0661100000;7,6822200000;5642;10061;121;1001070
Cercenasco;Torino;TO;Piemonte;44,8611100000;7,5058300000;45,0661100000;7,6822200000;1864;10060;11;1001071
Ceres;Torino;TO;Piemonte;45,3138900000;7,3908300000;45,0661100000;7,6822200000;1080;10070;123;1001072
Ceresole Reale;Torino;TO;Piemonte;45,4333300000;7,2452800000;45,0661100000;7,6822200000;164;10080;124;1001073
Cesana Torinese;Torino;TO;Piemonte;44,9536100000;6,7925000000;45,0661100000;7,6822200000;1040;10054;122;1001074
Chialamberto;Torino;TO;Piemonte;45,3647200000;7,3422200000;45,0661100000;7,6822200000;360;10070;123;1001075
Chianocco;Torino;TO;Piemonte;45,1497200000;7,1697200000;45,0661100000;7,6822200000;1695;10050;122;1001076
Chiaverano;Torino;TO;Piemonte;45,4980600000;7,9033300000;45,0661100000;7,6822200000;2150;10010;125;1001077
Chieri;Torino;TO;Piemonte;45,0125000000;7,8247200000;45,0661100000;7,6822200000;36168;10023;11;1001078
Chiesanuova;Torino;TO;Piemonte;45,4194400000;7,6547200000;45,0661100000;7,6822200000;216;10080;124;1001079
Chiomonte;Torino;TO;Piemonte;45,1211100000;6,9858300000;45,0661100000;7,6822200000;942;10050;122;1001080
Chiusa di San Miche;Torino;TO;Piemonte;45,1044400000;7,3266700000;45,0661100000;7,6822200000;1687;10050;11;1001081
Chivasso;Torino;TO;Piemonte;45,1916700000;7,8913900000;45,0661100000;7,6822200000;26368;10034;11;1001082
Ciconio;Torino;TO;Piemonte;45,3297200000;7,7613900000;45,0661100000;7,6822200000;365;10080;124;1001083
Cintano;Torino;TO;Piemonte;45,4300000000;7,6886100000;45,0661100000;7,6822200000;264;10080;124;1001084
Cinzano;Torino;TO;Piemonte;45,0952800000;7,9261100000;45,0661100000;7,6822200000;389;10090;11;1001085
Ciriè;Torino;TO;Piemonte;45,2347200000;7,6052800000;45,0661100000;7,6822200000;18973;10073;11;1001086
Claviere;Torino;TO;Piemonte;44,9397200000;6,7513900000;45,0661100000;7,6822200000;212;10050;122;1001087
Coassolo Torinese;Torino;TO;Piemonte;45,3022200000;7,4633300000;45,0661100000;7,6822200000;1571;10070;123;1001088
Coazze;Torino;TO;Piemonte;45,0533300000;7,2986100000;45,0661100000;7,6822200000;3339;10050;11;1001089
Collegno;Torino;TO;Piemonte;45,0861100000;7,5769400000;45,0661100000;7,6822200000;50137;10093;11;1001090
Colleretto Castelnu;Torino;TO;Piemonte;45,4250000000;7,6783300000;45,0661100000;7,6822200000;358;10080;124;1001091
Colleretto Giacosa;Torino;TO;Piemonte;45,4338900000;7,8005600000;45,0661100000;7,6822200000;610;10010;125;1001092
Condove;Torino;TO;Piemonte;45,1186100000;7,3119400000;45,0661100000;7,6822200000;4704;10055;11;1001093
Corio;Torino;TO;Piemonte;45,3138900000;7,5341700000;45,0661100000;7,6822200000;3410;10070;11;1001094
Cossano Canavese;Torino;TO;Piemonte;45,3891700000;7,9911100000;45,0661100000;7,6822200000;528;10010;125;1001095
Cuceglio;Torino;TO;Piemonte;45,3633300000;7,8166700000;45,0661100000;7,6822200000;1000;10090;124;1001096
Cumiana;Torino;TO;Piemonte;44,9805600000;7,3758300000;45,0661100000;7,6822200000;7882;10040;11;1001097
Cuorgnè;Torino;TO;Piemonte;45,3922200000;7,6477800000;45,0661100000;7,6822200000;10141;10082;124;1001098
Druento;Torino;TO;Piemonte;45,1347200000;7,5763900000;45,0661100000;7,6822200000;8513;10040;11;1001099
Exilles;Torino;TO;Piemonte;45,0991700000;6,9319400000;45,0661100000;7,6822200000;270;10050;122;1001100
Favria;Torino;TO;Piemonte;45,3333300000;7,6894400000;45,0661100000;7,6822200000;5320;10083;124;1001101
Feletto;Torino;TO;Piemonte;45,3063900000;7,7483300000;45,0661100000;7,6822200000;2410;10080;124;1001102
Fenestrelle;Torino;TO;Piemonte;45,0366700000;7,0538900000;45,0661100000;7,6822200000;571;10060;121;1001103
Fiano;Torino;TO;Piemonte;45,2175000000;7,5238900000;45,0661100000;7,6822200000;2744;10070;11;1001104
Fiorano Canavese;Torino;TO;Piemonte;45,4702800000;7,8297200000;45,0661100000;7,6822200000;859;10010;125;1001105
Foglizzo;Torino;TO;Piemonte;45,2733300000;7,8241700000;45,0661100000;7,6822200000;2372;10090;11;1001106
Forno Canavese;Torino;TO;Piemonte;45,3494400000;7,5844400000;45,0661100000;7,6822200000;3691;10084;124;1001107
Frassinetto;Torino;TO;Piemonte;45,4363900000;7,6041700000;45,0661100000;7,6822200000;277;10080;124;1001108
Front;Torino;TO;Piemonte;45,2816700000;7,6647200000;45,0661100000;7,6822200000;1753;10070;11;1001109
Frossasco;Torino;TO;Piemonte;44,9347200000;7,3511100000;45,0661100000;7,6822200000;2870;10060;121;1001110
Garzigliana;Torino;TO;Piemonte;44,8377800000;7,3755600000;45,0661100000;7,6822200000;556;10060;121;1001111
Gassino Torinese;Torino;TO;Piemonte;45,1286100000;7,8266700000;45,0661100000;7,6822200000;9553;10090;11;1001112
Germagnano;Torino;TO;Piemonte;45,2636100000;7,4700000000;45,0661100000;7,6822200000;1293;10070;123;1001113
Giaglione;Torino;TO;Piemonte;45,1425000000;7,0155600000;45,0661100000;7,6822200000;661;10050;122;1001114
Giaveno;Torino;TO;Piemonte;45,0444400000;7,3525000000;45,0661100000;7,6822200000;16730;10094;11;1001115
Givoletto;Torino;TO;Piemonte;45,1622200000;7,5000000000;45,0661100000;7,6822200000;3509;10040;11;1001116
Gravere;Torino;TO;Piemonte;45,1233300000;7,0225000000;45,0661100000;7,6822200000;745;10050;122;1001117
Groscavallo;Torino;TO;Piemonte;45,3694400000;7,2580600000;45,0661100000;7,6822200000;205;10070;123;1001118
Grosso;Torino;TO;Piemonte;45,2586100000;7,5605600000;45,0661100000;7,6822200000;1055;10070;11;1001119
Grugliasco;Torino;TO;Piemonte;45,0636100000;7,5794400000;45,0661100000;7,6822200000;37870;10095;11;1001120
Ingria;Torino;TO;Piemonte;45,4677800000;7,5702800000;45,0661100000;7,6822200000;47;10080;124;1001121
Inverso Pinasca;Torino;TO;Piemonte;44,9416700000;7,2177800000;45,0661100000;7,6822200000;743;10060;121;1001122
Isolabella;Torino;TO;Piemonte;44,9080600000;7,9097200000;45,0661100000;7,6822200000;394;10046;11;1001123
Issiglio;Torino;TO;Piemonte;45,4480600000;7,7519400000;45,0661100000;7,6822200000;422;10080;125;1001124
Ivrea;Torino;TO;Piemonte;45,4688900000;7,8744400000;45,0661100000;7,6822200000;24196;10015;125;1001125
La Cassa;Torino;TO;Piemonte;45,1811100000;7,5186100000;45,0661100000;7,6822200000;1821;10040;11;1001126
La Loggia;Torino;TO;Piemonte;44,9577800000;7,6677800000;45,0661100000;7,6822200000;8457;10040;11;1001127
Lanzo Torinese;Torino;TO;Piemonte;45,2744400000;7,4769400000;45,0661100000;7,6822200000;5303;10074;123;1001128
Lauriano;Torino;TO;Piemonte;45,1588900000;7,9922200000;45,0661100000;7,6822200000;1546;10020;11;1001129
Leini;Torino;TO;Piemonte;45,1847200000;7,7169400000;45,0661100000;7,6822200000;15451;10040;11;1001130
Lemie;Torino;TO;Piemonte;45,2286100000;7,2930600000;45,0661100000;7,6822200000;190;10070;123;1001131
Lessolo;Torino;TO;Piemonte;45,4763900000;7,8119400000;45,0661100000;7,6822200000;1994;10010;125;1001132
Levone;Torino;TO;Piemonte;45,3197200000;7,6083300000;45,0661100000;7,6822200000;459;10070;124;1001133
Locana;Torino;TO;Piemonte;45,4188900000;7,4597200000;45,0661100000;7,6822200000;1642;10080;124;1001134
Lombardore;Torino;TO;Piemonte;45,2372200000;7,7394400000;45,0661100000;7,6822200000;1712;10040;11;1001135
Lombriasco;Torino;TO;Piemonte;44,8427800000;7,6358300000;45,0661100000;7,6822200000;1075;10040;11;1001136
Loranzè;Torino;TO;Piemonte;45,4436100000;7,8105600000;45,0661100000;7,6822200000;1106;10010;125;1001137
Lugnacco;Torino;TO;Piemonte;45,4455600000;7,7819400000;45,0661100000;7,6822200000;380;10080;125;1001138
Luserna San Giovann;Torino;TO;Piemonte;44,8091700000;7,2455600000;45,0661100000;7,6822200000;7676;10062;121;1001139
Lusernetta;Torino;TO;Piemonte;44,8038900000;7,2500000000;45,0661100000;7,6822200000;531;10060;121;1001140
Lusigliè;Torino;TO;Piemonte;45,3197200000;7,7675000000;45,0661100000;7,6822200000;561;10080;124;1001141
Macello;Torino;TO;Piemonte;44,8508300000;7,4005600000;45,0661100000;7,6822200000;1247;10060;121;1001142
Maglione;Torino;TO;Piemonte;45,3486100000;8,0125000000;45,0661100000;7,6822200000;467;10030;161;1001143
Marentino;Torino;TO;Piemonte;45,0583300000;7,8752800000;45,0661100000;7,6822200000;1409;10020;11;1001144
Massello;Torino;TO;Piemonte;44,9600000000;7,0558300000;45,0661100000;7,6822200000;61;10060;121;1001145
Mathi;Torino;TO;Piemonte;45,2591700000;7,5438900000;45,0661100000;7,6822200000;4074;10075;11;1001146
Mattie;Torino;TO;Piemonte;45,1202800000;7,1180600000;45,0661100000;7,6822200000;715;10050;122;1001147
Mazzè;Torino;TO;Piemonte;45,3033300000;7,9377800000;45,0661100000;7,6822200000;4177;10035;11;1001148
Meana di Susa;Torino;TO;Piemonte;45,1200000000;7,0691700000;45,0661100000;7,6822200000;903;10050;122;1001149
Mercenasco;Torino;TO;Piemonte;45,3572200000;7,8816700000;45,0661100000;7,6822200000;1279;10010;125;1001150
Meugliano;Torino;TO;Piemonte;45,4894400000;7,7800000000;45,0661100000;7,6822200000;96;10080;125;1001151
Mezzenile;Torino;TO;Piemonte;45,2958300000;7,3950000000;45,0661100000;7,6822200000;844;10070;123;1001152
Mombello di Torino;Torino;TO;Piemonte;45,0472200000;7,9219400000;45,0661100000;7,6822200000;411;10020;11;1001153
Mompantero;Torino;TO;Piemonte;45,1505600000;7,0377800000;45,0661100000;7,6822200000;669;10059;122;1001154
Monastero di Lanzo;Torino;TO;Piemonte;45,3027800000;7,4402800000;45,0661100000;7,6822200000;396;10070;123;1001155
Moncalieri;Torino;TO;Piemonte;44,9994400000;7,6858300000;45,0661100000;7,6822200000;58320;10024;11;1001156
Moncenisio;Torino;TO;Piemonte;45,2063900000;6,9850000000;45,0661100000;7,6822200000;42;10050;122;1001157
Montaldo Torinese;Torino;TO;Piemonte;45,0666700000;7,8505600000;45,0661100000;7,6822200000;714;10020;11;1001158
Montalenghe;Torino;TO;Piemonte;45,3380600000;7,8394400000;45,0661100000;7,6822200000;990;10090;11;1001159
Montalto Dora;Torino;TO;Piemonte;45,4930600000;7,8619400000;45,0661100000;7,6822200000;3493;10016;125;1001160
Montanaro;Torino;TO;Piemonte;45,2336100000;7,8555600000;45,0661100000;7,6822200000;5405;10017;11;1001161
Monteu da Po;Torino;TO;Piemonte;45,1516700000;8,0161100000;45,0661100000;7,6822200000;897;10020;11;1001162
Moriondo Torinese;Torino;TO;Piemonte;45,0394400000;7,9461100000;45,0661100000;7,6822200000;810;10020;11;1001163
Nichelino;Torino;TO;Piemonte;44,9975000000;7,6477800000;45,0661100000;7,6822200000;48946;10042;11;1001164
Noasca;Torino;TO;Piemonte;45,4566700000;7,3130600000;45,0661100000;7,6822200000;185;10080;124;1001165
Nole;Torino;TO;Piemonte;45,2458300000;7,5736100000;45,0661100000;7,6822200000;6907;10076;11;1001166
Nomaglio;Torino;TO;Piemonte;45,5369400000;7,8586100000;45,0661100000;7,6822200000;320;10010;125;1001167
None;Torino;TO;Piemonte;44,9361100000;7,5441700000;45,0661100000;7,6822200000;8034;10060;11;1001168
Novalesa;Torino;TO;Piemonte;45,1905600000;7,0175000000;45,0661100000;7,6822200000;576;10050;122;1001169
Oglianico;Torino;TO;Piemonte;45,3430600000;7,6913900000;45,0661100000;7,6822200000;1448;10080;124;1001170
Orbassano;Torino;TO;Piemonte;45,0086100000;7,5386100000;45,0661100000;7,6822200000;22345;10043;11;1001171
Orio Canavese;Torino;TO;Piemonte;45,3302800000;7,8625000000;45,0661100000;7,6822200000;820;10010;11;1001172
Osasco;Torino;TO;Piemonte;44,8491700000;7,3441700000;45,0661100000;7,6822200000;1138;10060;121;1001173
Osasio;Torino;TO;Piemonte;44,8705600000;7,6091700000;45,0661100000;7,6822200000;897;10040;11;1001174
Oulx;Torino;TO;Piemonte;45,0286100000;6,8341700000;45,0661100000;7,6822200000;3209;10056;122;1001175
Ozegna;Torino;TO;Piemonte;45,3513900000;7,7425000000;45,0661100000;7,6822200000;1258;10080;124;1001176
Palazzo Canavese;Torino;TO;Piemonte;45,4600000000;7,9777800000;45,0661100000;7,6822200000;850;10010;125;1001177
Pancalieri;Torino;TO;Piemonte;44,8322200000;7,5900000000;45,0661100000;7,6822200000;2019;10060;11;1001178
Parella;Torino;TO;Piemonte;45,4319400000;7,7897200000;45,0661100000;7,6822200000;479;10010;125;1001179
Pavarolo;Torino;TO;Piemonte;45,0700000000;7,8361100000;45,0661100000;7,6822200000;1107;10020;11;1001180
Pavone Canavese;Torino;TO;Piemonte;45,4383300000;7,8525000000;45,0661100000;7,6822200000;3899;10018;125;1001181
Pecco;Torino;TO;Piemonte;45,4544400000;7,7766700000;45,0661100000;7,6822200000;218;10080;125;1001182
Pecetto Torinese;Torino;TO;Piemonte;45,0186100000;7,7527800000;45,0661100000;7,6822200000;3954;10020;11;1001183
Perosa Argentina;Torino;TO;Piemonte;44,9569400000;7,1958300000;45,0661100000;7,6822200000;3438;10063;121;1001184
Perosa Canavese;Torino;TO;Piemonte;45,3975000000;7,8308300000;45,0661100000;7,6822200000;578;10010;125;1001185
Perrero;Torino;TO;Piemonte;44,9394400000;7,1161100000;45,0661100000;7,6822200000;737;10060;121;1001186
Pertusio;Torino;TO;Piemonte;45,3563900000;7,6397200000;45,0661100000;7,6822200000;772;10080;124;1001187
Pessinetto;Torino;TO;Piemonte;45,2905600000;7,4058300000;45,0661100000;7,6822200000;614;10070;123;1001188
Pianezza;Torino;TO;Piemonte;45,1002800000;7,5488900000;45,0661100000;7,6822200000;14088;10044;11;1001189
Pinasca;Torino;TO;Piemonte;44,9411100000;7,2338900000;45,0661100000;7,6822200000;3073;10060;121;1001190
Pinerolo;Torino;TO;Piemonte;44,8861100000;7,3327800000;45,0661100000;7,6822200000;36158;10064;121;1001191
Pino Torinese;Torino;TO;Piemonte;45,0441700000;7,7772200000;45,0661100000;7,6822200000;8648;10025;11;1001192
Piobesi Torinese;Torino;TO;Piemonte;44,9344400000;7,6125000000;45,0661100000;7,6822200000;3723;10040;11;1001193
Piossasco;Torino;TO;Piemonte;44,9902800000;7,4652800000;45,0661100000;7,6822200000;18279;10045;11;1001194
Piscina;Torino;TO;Piemonte;44,9208300000;7,4261100000;45,0661100000;7,6822200000;3435;10060;121;1001195
Piverone;Torino;TO;Piemonte;45,4491700000;8,0052800000;45,0661100000;7,6822200000;1381;10010;125;1001196
Poirino;Torino;TO;Piemonte;44,9208300000;7,8455600000;45,0661100000;7,6822200000;10245;10046;11;1001197
Pomaretto;Torino;TO;Piemonte;44,9563900000;7,1788900000;45,0661100000;7,6822200000;1087;10063;121;1001198
Pont-Canavese;Torino;TO;Piemonte;45,4222200000;7,5936100000;45,0661100000;7,6822200000;3756;10085;124;1001199
Porte;Torino;TO;Piemonte;44,8886100000;7,2700000000;45,0661100000;7,6822200000;1124;10060;121;1001200
Pragelato;Torino;TO;Piemonte;45,0163900000;6,9433300000;45,0661100000;7,6822200000;794;10060;122;1001201
Prali;Torino;TO;Piemonte;44,9044400000;7,0550000000;45,0661100000;7,6822200000;266;10060;121;1001202
Pralormo;Torino;TO;Piemonte;44,8622200000;7,9016700000;45,0661100000;7,6822200000;1939;10040;11;1001203
Pramollo;Torino;TO;Piemonte;44,9119400000;7,1958300000;45,0661100000;7,6822200000;248;10065;121;1001204
Prarostino;Torino;TO;Piemonte;44,8677800000;7,2688900000;45,0661100000;7,6822200000;1302;10060;121;1001205
Prascorsano;Torino;TO;Piemonte;45,3700000000;7,6163900000;45,0661100000;7,6822200000;798;10080;124;1001206
Pratiglione;Torino;TO;Piemonte;45,3530600000;7,5963900000;45,0661100000;7,6822200000;564;10080;124;1001207
Quagliuzzo;Torino;TO;Piemonte;45,4263900000;7,7794400000;45,0661100000;7,6822200000;339;10010;125;1001208
Quassolo;Torino;TO;Piemonte;45,5258300000;7,8319400000;45,0661100000;7,6822200000;370;10010;125;1001209
Quincinetto;Torino;TO;Piemonte;45,5641700000;7,8063900000;45,0661100000;7,6822200000;1065;10010;125;1001210
Reano;Torino;TO;Piemonte;45,0533300000;7,4302800000;45,0661100000;7,6822200000;1688;10090;11;1001211
Ribordone;Torino;TO;Piemonte;45,4336100000;7,5016700000;45,0661100000;7,6822200000;69;10080;124;1001212
Rivalba;Torino;TO;Piemonte;45,1191700000;7,8894400000;45,0661100000;7,6822200000;1162;10090;11;1001213
Rivalta di Torino;Torino;TO;Piemonte;45,0330600000;7,5247200000;45,0661100000;7,6822200000;19422;10040;11;1001214
Riva Presso Chieri;Torino;TO;Piemonte;44,9863900000;7,8705600000;45,0661100000;7,6822200000;4199;10020;11;1001215
Rivara;Torino;TO;Piemonte;45,3366700000;7,6230600000;45,0661100000;7,6822200000;2721;10080;124;1001216
Rivarolo Canavese;Torino;TO;Piemonte;45,3333300000;7,7230600000;45,0661100000;7,6822200000;12370;10086;124;1001217
Rivarossa;Torino;TO;Piemonte;45,2522200000;7,7194400000;45,0661100000;7,6822200000;1658;10040;11;1001218
Rivoli;Torino;TO;Piemonte;45,0697200000;7,5166700000;45,0661100000;7,6822200000;49591;10098;11;1001219
Robassomero;Torino;TO;Piemonte;45,1994400000;7,5752800000;45,0661100000;7,6822200000;3023;10070;11;1001220
Rocca Canavese;Torino;TO;Piemonte;45,3102800000;7,5769400000;45,0661100000;7,6822200000;1781;10070;11;1001221
Roletto;Torino;TO;Piemonte;44,9258300000;7,3316700000;45,0661100000;7,6822200000;2028;10060;121;1001222
Romano Canavese;Torino;TO;Piemonte;45,3927800000;7,8672200000;45,0661100000;7,6822200000;2957;10090;125;1001223
Ronco Canavese;Torino;TO;Piemonte;45,5005600000;7,5450000000;45,0661100000;7,6822200000;319;10080;124;1001224
Rondissone;Torino;TO;Piemonte;45,2483300000;7,9650000000;45,0661100000;7,6822200000;1843;10030;11;1001225
Rorà;Torino;TO;Piemonte;44,7930600000;7,1972200000;45,0661100000;7,6822200000;251;10060;121;1001226
Roure;Torino;TO;Piemonte;45,0044400000;7,1311100000;45,0661100000;7,6822200000;897;10060;121;1001227
Rosta;Torino;TO;Piemonte;45,0700000000;7,4652800000;45,0661100000;7,6822200000;4623;10090;11;1001228
Rubiana;Torino;TO;Piemonte;45,1402800000;7,3833300000;45,0661100000;7,6822200000;2399;10040;11;1001229
Rueglio;Torino;TO;Piemonte;45,4702800000;7,7541700000;45,0661100000;7,6822200000;765;10010;125;1001230
Salassa;Torino;TO;Piemonte;45,3594400000;7,6888900000;45,0661100000;7,6822200000;1771;10080;124;1001231
Salbertrand;Torino;TO;Piemonte;45,0733300000;6,8861100000;45,0661100000;7,6822200000;572;10050;122;1001232
Salerano Canavese;Torino;TO;Piemonte;45,4588900000;7,8500000000;45,0661100000;7,6822200000;543;10010;125;1001233
Salza di Pinerolo;Torino;TO;Piemonte;44,9327800000;7,0700000000;45,0661100000;7,6822200000;79;10060;121;1001234
