Pos|Titolo|Publisher|Anno|TitoloNorm|Link
|Sine Requie|Asterion Press|2003|sine requie|http://site.asterionpress.com/giochi_sine_requie.php
|Anime e Sangue|Raven Distributions|2012|anime e sangue|http://www.raven-distribution.com/prodotti/giochi_di_ruolo/anime_e_sangue/anime_e_sangue.RD2012.it.html
|Destino Oscuro|Acchiappasogni|2012|destino oscuro|http://www.acchiappasogni.org/destino-oscuro/
|Cielo Cremisi|Acchiappasogni|2012|cielo cremisi|http://www.acchiappasogni.org/destino-oscuro/cielocremisi/
|Project H.O.P.E.|Limana Humanita|2011|project hope|http://www.projecthope.it/
