"Start URL","Titolo","Author","Genre","Setting","EditionInfo","System","Awards","OtherTags"
"http://site.asterionpress.com/giochi_sine_requie.php","Sine Requie","Matteo Curtini, Leonardo Moretti","Horror / Post-Apocalyptic","","","","",""
"http://www.raven-distribution.com/prodotti/giochi_di_ruolo/anime_e_sangue/anime_e_sangue.RD2012.it.html","Anime e Sangue","Matteo Curtini","Action","","","","",""
"http://www.acchiappasogni.org/destino-oscuro/","Destino Oscuro","","Generic","","","","",""
"http://www.acchiappasogni.org/destino-oscuro/cielocremisi/","Cielo Cremisi","","Horror","","","","",""
"http://www.projecthope.it/","Project H.O.P.E.","","Super Hero","","","","",""
