"spotify.id","name","genre","wikipedia.id","start.activity","popularity","followers"
"4ArhsKyC88eGGqDKz4hAR7","Anatrofobia","Punk jazz",5093626,1990,0,28
"3ZlSRBv3StWrGuGTAwKskP","Ancient Bards","Epic metal",4181924,2006,32,14441
"5fOsOpuRjhadPW5pulYERx","Andrea Bonomo","Pop",4835898,2008,0,30
"6tUZR7f362Az955mohbZ6y","Andrea Liberovici","Pop",1244863,1978,0,7
"5BPV2SmyZ3ncEKjth6zGqT","Andrea Lo Vecchio","Musica leggera",3750457,1962,0,4
"6kXUtyHeuEJuSsX5KT5fyv","Andrea Mirò","Pop rock",102139,1986,9,286
"4o7OCQQ1CWqz7F0b1EafnY","Andrea Sacco",NA,230801,NA,1,16
"19WfaS0bNlDfq4g3BMbavm","Angela Baraldi","Pop",638827,1990,11,620
"2Hjxc5qA6BkuUS1aze0VHB","Angela Luce","Musica leggera",1289665,1953,9,579
"7iyQkDvZ3amF09qikHMOro","Angeli","Hardcore punk",4520478,1996,5,66
"7CgDMHHa5A909CYA6gqt8r","Angelica","Pop",1289408,1968,25,771
"3qlU3Nyu3XXO2k9AUnTcy1","Angelo Branduardi","Folk",110188,1974,37,22692
"1RBUfks7MkVWS4xi32GAB8","Angelo Cavallaro","Musica leggera",4197429,1981,18,2552
"7Eifmfxg7U7F2ayW5lYu0V","Anna Identici","Musica leggera",127458,1962,5,319
"6iuybPv0Mii8x21mztjaUN","Anna Oxa","Musica leggera",2857426,1978,42,27984
"0EqkKYDK9EkKY5N7zU3FPv","Annalisa","Pop",3388913,2004,59,322879
"1W38ItVcEkS7UOLWFf1BZG","Annie Hall","Pop",4551772,2004,3,315
"5WYU7bShLJ5qn1g0ROqs9o","Antonella D'Agostino","Musica leggera",4293264,1962,0,19
"0EPXR7Meu62WP2K0kRpGyR","Antonino Spadaccino","Pop",383785,2004,8,1650
"6vSFXf1XcWQFRsl7o3MM7s","Antonius Rex","Rock progressivo",786184,1974,2,369
"6ajCRFex2sP3I71JIHxwSZ","Après La Classe","Ska",737803,1996,36,20124
"20U1hgf4PQ9jGcp4i5lI1X","Arakne Mediterranea","Pizzica",1228213,1993,7,463
"3xvGEnjMO04wq2U1QSXoRW","Aram Quartet","Pop",1796461,2008,3,521
"06xCAqjfrCwPE3IopsgCet","Arcansiel","Rock progressivo",1325446,1986,0,49
"2w3q28Bld8k2RMIRi4cWpb","Ardecore","Folk",736586,2005,5,719
"6o2PxnpsrQ352kwYlEwjvR","Area","Rock progressivo",116838,1972,22,11059
"7pjt3Jn3osWLEtSm1nRLCm","Argine","Neofolk",2841103,1992,7,834
"4pUAQPjHaYFZ4VzBJBMAsn","Ariondassa","Folk",2008191,1996,2,43
"25x6MD0spNNS7z93Sat30K","Arisa","Pop",2892877,2008,50,97983
"4AOKyVNH0HaUiRCe6qd38F","Armando Gill","Canzone napoletana",783717,1896,0,22
"2heW0tuQZvN1avHwHG6sOf","Armando Savini","Pop",1289511,1967,2,49
"3xrO149KO8KKnasP5D8NaT","Arpioni","Ska",533846,1990,16,1343
"04k0n1Rcz2MxqvZfioAOTE","Art of Fighters","Techno hardcore",327549,1999,36,17143
"7wECovJguakYoVWAZMAuzE","Artemoltobuffa","Pop",3107881,2002,2,483
"1Ij5ZIGlPTkoZibay58zHe","Articolo 31","Hip hop",234701,1990,53,194441
"1dnmPYUWNaxLGgZFiPvrfB","Artù","Indie rock",6383215,2011,27,1990
"0EQ2NcRLJW79hBwdKsQdsC","Arturo","Hardcore punk",326963,1993,1,38
"4uh12AvRVwn8GNWWryVgVg","Ashram","Darkwave",2724500,1997,24,5043
"56PAFc5EkAWofBQfKUNpvb","Assalti Frontali","Underground hip hop",320466,1991,26,11518
"0rzEGxbNtR6tCovob7Uhzk","Assemblea Musicale Teatrale","Teatro canzone",286855,1975,0,60
"5wRrRxmJnNTnieaNKAzTZI","Ataraxia","Neofolk",535635,1985,12,4049
"7mdGXtinc0TYNDYArZdE4p","Atlantide","Rock progressivo",5425766,1973,0,30
"2hU1riZ9KrpXWWj2NozyBQ","Aton's","Neoprogressive",652968,1977,1,42
"7ngxqmrzRppBEh67DcDjgL","ATPC","Hip hop italiano",326067,1990,10,1825
"5nEOvukYxvAo2jXoslesJf","Atrox","Hardcore punk",4764189,1982,4,574
"3ieh2stIemjpSdQM8jhgDi","Audio 2","Rock",1219274,1993,20,1583
"2vfwqJjTWMTkZ8vqPaHy4Z","Aurelio Fierro","Musica leggera",82182,1951,24,1134
"5KjnXDkCaT3TMTJrEH6TVP","AUT AUT","Punk rock",5398128,1989,0,9
"3KlbMNEkhMvGokqZ4aGlWv","Ava & Stone",NA,5894456,NA,3,51
"4wPkDAmgbW9PzXH4nXsNz6","Avvolte","Indie rock",1784914,1996,0,16
"6JB2n6AclxQLrXAOy4PD03","B-nario","Pop",1795700,1993,12,421
"3iYwsCmyIpFw5GLKwL6V77","Babaman","Dancehall reggae",529623,1989,43,77403
"725KKhVCSCQbYkZBptBTfg","Baby K","Pop rap",4382114,2006,63,235215
"17E3eee30nez6YfwVxhHzH","Bachi da pietra","Blues rock",3379300,2004,12,2895
"4TFJHD2tVds6lj4VeClQRk","Baciamibartali","New wave",3225245,1981,0,31
"5CHAWvFynSYrtRNVyO6dfO","Bad Bones","Hard rock",2841164,2007,1,302
"6czfQ8MjHVmvJKA4LAnviG","Baltimora","Italo disco",1053401,1985,45,21587
"2RucBHMHhR5LMQUoGO19OW","Bambole di pezza","Punk rock",439640,1997,7,975
"4RuYtHjAKBufQRqBUMiOfK","Banco del Mutuo Soccorso","Rock progressivo",109673,1968,27,17146
"4WJs8Pjm0oHAgvpJO8HA1b","Banda Bassotti","Ska punk",642486,1987,27,17112
"74L0Gfc4Je7Mpv6EOHUe5s","Banda Elastica Pellizza","Musica d'autore",5042315,2003,3,293
"7b9Lqa8EZswdbG8gdxjY2B","Banda Osiris","Pop",1101337,1980,9,559
"4IkkOpPLhBmRXfJH1b6m1H","Bandabardò","Folk rock",62732,1993,40,39098
"6iNBArUIFcdsVumYUoT8h1","Baraonna",NA,104215,NA,1,52
"0kPuei2fmWyvOcgRdFYsBb","Barbara Gilbo","Pop rock",2471174,2004,0,19
"3pnYuyd7aKSECDdAIuH5KG","Basic Connection","Eurodance",2425753,1996,12,215
"6MZjbHXFpj9FCDUurszQkz","Bassistinti","Ska",541927,1994,2,89
"02G0wSA5mAINnHX3nTCaHi","Baustelle","Indie rock",2038367,1996,49,85375
"2LeVITWZ1zWLnIF6gJRAmG","Beans","Musica leggera",114982,1969,10,221
"0FtjwphMtoCd8h8GbDVNbI","Beatrice Baldaccini",NA,5949892,NA,0,4
"6oZ63d1J5oiJcWS3Dqdk4E","Benito Urgu","Beat",647371,1962,0,181
"2nftqfbLohpDYzY8VUlvbm","Benji & Fede",NA,5997100,NA,59,309626
"1XHTKlHzxraZxZdb857WDN","Beppe Cardile","Pop",780134,1959,0,4
"2sb0fB8yUtDrC5IDEVA7YU","Beppe Dettori","Musica etnica",702054,1987,4,124
"7mW5Pq1PzAjtY0wdvnjSQU","Bernardo Lanzetti","Rock",1584338,1971,1,66
"7padvdFidAiFKimbiIISKS","Bertas","Beat",3911421,1965,5,156
"0b4fNLAwJZyl56h7qd5DD1","Betty Curtis","Pop",92977,1957,11,303
"4aFmQhJycJCwDLGX2QGHuy","Bevano Est","Folk",171204,1991,1,121
"0Qd65xBSFzdm3zCEu2ThQF","Biagio Antonacci","Pop rock",97278,1988,54,189215
"4IKtlNi0pEltspa4wFHHCL","Bianca Atzei","Pop soul",5319971,2012,44,42633
"4OvEjbTT6H3zArVIrsEoII","Bianco","Pop",5191579,2009,30,7852
"32iWqX9jgLPJBZBXNEhxtR","Biglietto per l'Inferno","Rock progressivo",132025,1972,8,2781
"2BvXL6lc17tLwLNCpZI07k","Bino","Pop",7482163,1975,28,418
"5YSpR4joFhoyDEuV7mGjWN","Bisca","Rock and roll",1253519,1980,13,468
"6tsRo8ErXzpHk3tQeH6GBW","Black Box","Dance",716464,1989,45,34077
"7cbS57wn4dSrXHqF4JAstD","Blackwood","Dance",1192773,1990,10,240
"2ygXFxzYQUcvjSPloqkEa7","Blastema","Indie rock",4388930,1997,8,2991
"1wCp2LKbJTGSythHLfwEeN","Bliss Team","Eurodance",1881699,1992,12,271
"6xGIvLZMJjBIqcenhUg2Ld","Blue Stuff","Blues",426913,1982,9,583
"4ky35fBYrjbVpZUgnTcJl8","Blume","Synth pop",4682594,2008,17,825
"6q8FspLLQOHpabMMbEb8Vq","Bluvertigo","Rock alternativo",104773,1991,28,24586
"7GxkHuCxqtPAVnpBTjObpn","Bobby Solo","Pop",92849,1963,34,10563
"05skI9CJblMY0UwWoQd1if","Bologna Violenta","Grindcore",3950779,2005,10,2207
"4luRWSlBFKxyMqbGbsCWd0","Boohoos","Garage rock",3753118,1985,0,18
"3obJlBAidEjgW6KTMRrwXf","Bottega Baltazar","Musica d'autore",5987330,2000,0,64
"4Ttq7tTGmx28IM7sN0nEMa","Brokenspeakers","Hip hop",3437682,2007,23,10490
"263eDtyQXzUorWiq2od1xs","Brothers","Italodance",5637312,2000,31,2272
"1znlfyAOXeDY2bQCofQw0u","Bruno D'Andrea","Pop",451511,NA,4,14
"69lP1pS5aRVxgyvi0uOYbg","Bruno Lauzi","Pop",100326,1961,34,5552
"7lvbHG1Uu4BcTYWqaqOpwi","Bruno Martino","Musica leggera",321510,1944,26,2066
"22JQMIA9t7XpaewYjbp6Mn","Bruno Pallesi","Musica leggera",778799,1941,0,8
"7B2CSUPw2pYdvPNtxk6gzP","Bruno Rosettani","Musica leggera",778862,1947,4,26
"2p2SZoUTvT4dbL2xXXJXwy","Brunori Sas","Indie pop",3539499,2003,50,114237
"0JiM9pPztubs4BdPqaqWn7","Brusco","Reggae",795339,1991,38,30869
"1bfWecjdxJOuN7f42oIH5S","Bud Spencer Blues Explosion","Rock alternativo",2947631,2007,29,11248
"01U4yWwtUKMckbI55OiT7g","Bugo","Musica d'autore",753662,1994,24,9256
"2nGNJ5OnGMAJ9ZwHu10mQJ","Buon vecchio Charlie","Rock progressivo",1899254,1970,2,512
"4nqE0c0WGeiFODuz529Sxj","Butcher Mind Collapse","Noise rock",4177159,2004,0,17
"1N8SZ7Nj8vfLeF61uU8neF","Cadabra","New wave",3603652,1998,3,36
"2Dc2SYCPfqvSbQ7CrJawsp","Cadaveria","Black metal",804443,2001,16,6590
"7ueDbhgpZaiUxEbiHnwezi","Calibro 35","Funk",2972352,2007,33,17332
"3HwxK2ZZdp7YB5FVs2BLh2","Camerata Mediolanense","Neofolk",1495278,1994,11,1560
"2C9ukRrDm6tGKGU4iSBxAe","Campo di Marte","Rock progressivo",2205430,1971,3,814
"3oSFDFWSvgIR91x3ncSS8i","Cani","Hardcore punk",4220108,1982,0,19
"3WFbrhyT01Q4pMQNkurobN","Cantodiscanto","Pop",1431544,1983,4,231
"7wVKCmmrJvseLRJzeOOhjb","Cantovivo","Folk",3276976,1974,1,26
